offerid,floor,furnitured,price,buildingtype,area,rooms,rent,address,latitude,longitude
665411363,1,True,2750,apartamentowiec,40.0,2,500.0,"ul. Kartuska 420, Gdańsk",54.3454879,18.5348431
923680140,1,True,2300,wolnostojacy,20.0,1,1.0,"ul. Wolfganga Mozarta, Gdańsk Suchanino",54.3571996,18.6079411
733945215,1,True,2100,wolnostojacy,35.0,1,180.0,"ul. Jeleniej 21, Gdańsk Oliwa",54.4195056,18.5575914
923906171,1,True,2000,kamienica,19.0,1,,"ul. Miszewskiego, Wrzeszcz, Gdańsk",54.3782258,18.6148538
845139293,1,True,3600,kamienica,44.0,2,350.0,"ul. Grunwaldzka, Gdańsk",54.3942031,18.58113
923888679,3,True,2900,blok,44.5,2,550.0,"Gdańsk, Gdańskie Przymorze",54.4110465,18.598796
923869221,4,True,1500,blok,20.0,1,500.0,"ul. Długie Ogrody, Gdańsk",54.3478802,18.6655082
746900242,0,True,3000,apartamentowiec,30.0,1,500.0,"Łąkowa 60, Gdańsk",54.3458677,18.6641381
884781525,3,True,2700,blok,40.0,2,500.0,Gdańsk ul. Nowatorów,54.3746244,18.4658838
904291145,4,True,3700,apartamentowiec,65.0,3,,Gdańsk,54.35202520000001,18.6466384
921995716,6,True,3990,apartamentowiec,44.6,2,500.0,"ul. Hemara, Garnizon, Gdańsk",54.3825505,18.5916807
808267643,3,True,2250,blok,47.0,2,600.0,"Siedlce, Gdańsk",54.3470942,18.6171409
922220653,1,True,3900,kamienica,79.0,3,800.0,"ul. Partyzantów, Gdańsk-Wrzeszcz",54.3788553,18.5953939
685180301,4,True,3500,blok,42.0,2,450.0,"ul. Bolesława Leśmiana, Garnizon, Gdańsk Wrzeszcz",54.3826406,18.5899034
920021397,2,True,2700,blok,40.0,2,350.0,"ul. Jagiełły, Gdańsk",54.3021348,18.6143719
922035348,1,True,3300,apartamentowiec,40.0,2,500.0,"ul. Rakoczego, Gdańsk osiedle Morenova",54.3494717,18.5939777
923838253,0,True,1500,blok,54.0,3,,"ul. Kurpińskiego, Suchanino, Gdańsk",54.353242,18.6006712
762455629,2,True,2490,blok,30.0,1,230.0,"Lawendowe Wzgórze, Gdańsk Jasień",54.3287623,18.5637772
707703114,0,True,3390,blok,25.0,1,200.0,"ul. Kliniczna, Gdańsk Wrzeszcz",54.3758297,18.626691
694811730,1,True,2800,apartamentowiec,32.0,2,595.0,"ul. Starowiejska, Nowa Letnica, Gdańsk",54.395736,18.6463432
923829921,3,True,3000,blok,44.2,2,,"ul. Lema, Gdańsk",54.3486546,18.5912572
830444965,5,True,6000,apartamentowiec,85.0,4,1000.0,"osiedle Latarników, ul. Letnicka, Gdańsk",54.39932,18.6459851
916321695,1,True,2500,blok,28.0,2,400.0,Gdańsk Przymorze,54.4110465,18.598796
619473080,1,True,2500,blok,33.0,2,465.0,"Łostowice, Gdańsk",54.3124404,18.5955531
923002995,4,True,5600,apartamentowiec,65.0,3,900.0,"Gdańsk, ul. Letnicka 10",54.4026323,18.6491057
923818392,4,True,2300,blok,30.0,2,600.0,"ul. mjr Słabego, Matarnia, Gdańsk",54.371882,18.5246058
922066605,,True,1900,kamienica,15.0,1,,"ul. Seredyńskiego, Gdańsk",54.3494059,18.6662911
763717630,2,True,2850,blok,46.0,2,600.0,"ul. Wielkopolska 48, Gdańsk",54.3119606,18.5884795
623987713,5,True,3200,apartamentowiec,51.0,2,800.0,"ul. Partyzantów 8, Gdańsk Wrzeszcz",54.3770192,18.6053253
922991290,2,True,2800,blok,42.54,2,350.0,"ul. Wąsika 4, Gdańsk",54.35202520000001,18.6466384
669649223,4,True,3500,kamienica,56.0,3,517.0,"Ul. Seredyńskiego, Gdańsk",54.3494059,18.6662911
922046960,,True,3100,blok,50.0,3,780.0,"ulica Piastowska, Przymorze, Gdańsk",54.4158449,18.5851607
922042452,,True,2700,apartamentowiec,20.0,1,300.0,"osiedle Zajezdnia, Wrzeszcz, Gdańsk",54.3933569,18.6194322
647566387,2,True,2850,blok,52.0,2,520.0,"ul. Guderskiego 62, Gdańsk Jasień Północ, Rębowo",54.3397877,18.5482228
