offerid,floor,furnitured,price,buildingtype,area,rooms,rent,address,latitude,longitude
923676733,2,True,1600,blok,21.0,1,465.0,"Daszyńskiego, Kraków",50.0552233,19.9537146
922891023,1,True,2500,kamienica,50.0,1,1.0,"Kraków, ul. Dietla",50.0542174,19.9432891
862033654,5,True,5500,apartamentowiec,75.0,4,700.0,"ul. Śliczna, Kraków",50.072611,19.9775043
766506898,-1,True,1700,kamienica,35.0,2,600.0,"Kraków, ul. Szlak 1 A",50.0700965,19.9329993
920379195,1,True,2200,blok,38.0,1,300.0,"ul. Felińskiego 29, Górka Narodowa, Kraków",50.1005772,19.9666866
817124308,2,True,2500,apartamentowiec,36.0,1,500.0,"Ulanów, Kraków",50.0778397,19.9835756
923906124,3,True,2500,apartamentowiec,35.1,2,450.0,"ul. Wrocławska i Świętokrzyska, Kraków",50.0777876,19.924889
628876135,3,True,2500,blok,49.0,2,650.0,"os. Kombatantów, Kraków",50.09122869999999,20.0074737
915144071,2,True,2500,blok,40.0,2,750.0,"ul. Okulickiego, Kraków",50.0939584,20.01461
923200091,0,True,2900,apartamentowiec,42.0,2,550.0,"Dębniki, Kraków",50.0488946,19.9259644
682546187,3,True,2500,apartamentowiec,35.1,2,450.0,"ul. Świętokrzyska/Wrocławska, Kraków",50.0757798,19.929647
754184368,2,True,4900,kamienica,83.0,3,,"ul. Limanowskiego 3, Kraków",50.0451437,19.9506193
836327530,3,True,3000,apartamentowiec,50.0,2,700.0,"ul. Oraczy 7, Łagiewniki, Kraków",50.0256546,19.9337074
659596795,4,True,2600,apartamentowiec,47.0,2,2600.0,"ul. Marcholta, Prądnik Czerwony, Kraków",50.0925077,19.9850655
660539155,1,True,2600,apartamentowiec,42.0,2,273.0,"ul. Mała Góra 15b, Kraków",50.0159098,20.0289614
923896464,1,False,1800,blok,29.75,1,550.0,"ul. Kępna, Kraków",50.0140602,19.9173324
846913966,2,True,1800,apartamentowiec,37.0,1,700.0,"os. Oświecenia, Kraków",50.0933562,19.9918617
871474630,2,True,2800,blok,44.0,2,600.0,"ul. Sosnowiecka, Kraków",50.092606,19.892862
923888699,5,True,2600,blok,48.0,2,,"ul. Bochenka, Podgórze Duchackie, Kraków",50.0114279,19.9751579
923887654,3,True,3100,blok,48.0,2,512.0,"Orlińskiego, Kraków",50.0790723,20.0025525
831338547,2,True,3200,blok,67.0,3,892.0,"ul. Myśliwska 74, Mały Płaszów, Kraków",50.0464426,19.9991996
923881194,5,True,2300,blok,34.0,1,250.0,"ul. Bobrowskiego, Grzegórzki, Kraków",50.0584433,19.9667963
917625846,1,True,2700,kamienica,40.0,2,1.0,"ulica Obopólna, Kraków",50.0734847,19.9064902
693162571,0,True,2700,blok,45.0,2,450.0,"ul. Architektów, Kraków",50.0971852,20.0549
766693694,5,True,1950,apartamentowiec,16.0,1,550.0,Pokoju 1a Kraków (przy Rondzie Grzegórzeckim),50.0639571,19.9614349
920208463,2,True,1800,blok,25.0,1,560.0,"ul. Dobrego Pasterza 109, Kraków",50.089276,19.968971
