offerid,floor,furnitured,price,buildingtype,area,rooms,rent,address,latitude,longitude
662991070,2,True,1800,kamienica,26.0,1,550.0,"Narutowicza 41, Łódź",51.7715764,19.4684219
908457452,2,True,2200,apartamentowiec,37.0,2,250.0,"ul. Henryka Wieniawskiego, Łódź",51.7398688,19.4401011
703467795,1,True,1390,apartamentowiec,25.0,1,1.0,"ul. Płynna 5, Górna, Łódź",51.71134319999999,19.4761957
754831498,4,True,1999,apartamentowiec,28.0,1,490.0,"ul. Żwirki 21, Central Park, Łódź",51.7564996,19.4493983
742943222,8,True,1600,blok,36.0,1,600.0,"ul. Gogola, Łódź",51.7578481,19.5446279
923899860,0,True,2000,blok,19.0,1,,"ul. Osiedlowa, Bałuty, Łódź",51.7866073,19.4455056
864355093,4,True,1000,kamienica,15.0,1,300.0,"ul. Pomorska 8, Łódź",51.7770433,19.4566452
917317788,3,True,2290,apartamentowiec,48.0,3,650.0,"Łódź, ul. Rewolucji 69",51.7763748,19.4746992
917316331,,True,790,blok,27.0,1,660.0,"Żeligowskiego 50/52, Łódź",51.7652,19.4397999
923896112,3,True,2000,blok,27.0,1,1.0,"ul. Przemysłowa, Łódź",51.7916758,19.4764732
897616652,,True,1900,kamienica,33.0,2,520.0,"Piotrkowska 37, Łódź",51.7712811,19.4548702
923894377,2,True,1010,kamienica,16.0,1,380.0,"ul. Pabianicka 34 lok. 208, Łódź",51.735056,19.458085
858343555,3,True,1250,blok,26.0,1,450.0,"ul. Powstańców Wielkopolskich, Łódź",51.7849433,19.422537
920599521,2,True,2300,pozostale,52.0,3,1.0,"ul. Plynna 5, Łódź Gorna",51.71134319999999,19.4761957
916169139,2,True,1900,blok,53.0,2,900.0,"Wojska Polskiego/Sporna, Łódź",51.7890914,19.4791004
816533240,3,True,1900,apartamentowiec,29.0,1,350.0,"ul. Pogonowskiego 2, osiedle Legionów 66, Łódź",51.773719,19.4415893
922251848,5,True,3000,apartamentowiec,59.0,2,1030.0,"ul. Tuwima 15, Łódź",51.76589269999999,19.463583
923885747,0,True,2000,blok,45.0,2,560.0,"ul. Pomorska 185, Baltic Estate, Łódź",51.7769913,19.4969832
921846023,1,True,1900,blok,37.0,2,400.0,"ul. Wróblewskiego 21C, Łódź",51.7463252,19.4454588
820261962,3,True,1500,kamienica,20.0,1,500.0,Łódź ul. Więckowskiego 56,51.7714192,19.4440675
857920879,0,True,1150,blok,14.0,1,500.0,Łódź Próchnika 54,51.773547,19.4435321
909569659,3,True,1300,blok,21.0,1,500.0,"Łódź, ŁÓDŹ UL. NOWA 52 STUDIO 3",51.7616969,19.4835311
917323278,0,True,1700,apartamentowiec,36.0,1,400.0,"Port Jastarnia, Rokicie, Chojny, Retkinia, Ruda Pabianicka, Łódź",51.7438833,19.4034425
902787589,3,True,1950,kamienica,31.0,2,680.0,"Pabianicka 4/26, Łódź",51.73757459999999,19.4610948
812192369,1,True,1250,kamienica,15.0,1,180.0,"róg ul. Pomorskiej i ul. Wschodniej, Łódź",51.7749304,19.521431
652132671,4,True,900,kamienica,18.0,1,480.0,"ul. Mielczarskiego 12, Łódź",51.776703,19.4454356
879316527,3,True,1500,kamienica,36.0,1,500.0,"ul. Targowa, Łódź",51.7609927,19.4725638
916382639,3,True,1800,apartamentowiec,32.0,1,320.0,"osiedle Królewska, Łódź",51.7153175,19.4825682
919731739,2,True,2000,apartamentowiec,42.0,2,790.0,"ul. Kopernika 68, Tobaco Park, Łódź",51.75761019999999,19.4365131
923860434,1,True,1250,blok,27.0,1,600.0,"ul. Zbaraska, Łódź",51.7411143,19.4954638
859342568,3,True,1250,blok,26.0,1,450.0,"osiedle Żubardź, Łódź",51.7851977,19.4245783
694142629,1,True,1900,apartamentowiec,48.0,2,650.0,"ulica Częstochowska, Łódź",51.7509657,19.4937828
922591702,2,True,1500,apartamentowiec,21.0,1,450.0,"Pienista 80, Łódź",51.7335869,19.4039985
771961515,0,True,1700,kamienica,24.0,1,270.0,"ul. Sanocka, Łódź",51.7330168,19.4605491
690742256,2,True,2100,pozostale,42.0,2,,"ul. Wróblewskiego 21K, Łódź",51.7460631,19.4448293
881790074,2,True,2800,apartamentowiec,35.0,1,,"Politechniki/Felsztyńskiego, Łódź",51.739317,19.452305
923845792,3,True,1400,blok,34.0,1,544.0,"ul. Wileńska, Łódź",51.7523014,19.4251185
913432321,1,True,1850,apartamentowiec,25.0,1,300.0,"Łódź, brak informacji o dokładnym adresie",51.7592924,19.4558778
922589637,4,True,2150,apartamentowiec,30.0,2,550.0,"ulica Pienista 80, Łódź",51.7335869,19.4039985
921165160,2,True,2200,blok,42.42,2,550.0,"ul. Armii Krajowej, Retkinia, Łódź",51.7457447,19.3985579
868334321,0,True,1400,kamienica,19.0,1,600.0,"ul. Pabianicka 4/5, Łódź",51.73757459999999,19.4610948
888533776,1,True,1000,apartamentowiec,18.0,1,,"ul. Janosika 38, Łódź",51.7800081,19.5216206
715118647,4,True,2800,blok,94.0,4,1300.0,"Łódź, ul. Nowa, centrum",51.7645062,19.4824954
779622842,4,True,1400,blok,32.0,1,400.0,"Łódź, ul. Podbipięty",51.7497202,19.5664963
658298895,5,True,2350,apartamentowiec,46.0,2,450.0,"Al. Mickiewicza 4, Łódź",51.7566973,19.43834
906462980,0,True,1090,blok,53.0,2,1260.0,"ul. Bydgoska 44, Łódź",51.78596899999999,19.4255541
921567420,10,True,1400,blok,30.0,1,580.0,"ul. Klonowa 38/40, Łódź",51.78629790000001,19.4276697
798991842,3,True,1600,apartamentowiec,30.0,1,523.0,"Nova Lipova, Łódź",51.7654934,19.4448949
629406060,6,True,1800,blok,47.0,2,578.0,"Łódź Górna Dąbrowa, ul. Odyńca",51.73071,19.4825339
856552975,3,True,1600,blok,35.0,2,550.0,"ul. Kosmonautów, Łódź",51.7263232,19.4505223
736777354,4,True,2000,blok,45.0,2,490.0,"okolice ronda Broniewskiego, Łódź",51.7328349,19.4892946
923832280,2,True,1500,blok,26.0,1,500.0,"ul. Rojna, Teofilów, Łódź",51.7949191,19.3643564
923644286,4,True,1900,blok,37.0,2,650.0,"ul. Grota Roweckiego, Dąbrowa/Zarzew, Łódź",51.7592924,19.4558778
912874560,3,True,1700,blok,28.0,2,650.0,"Blisko Manufaktury, Łódź",51.8172625,19.4093768
921782202,2,True,1900,blok,48.0,2,600.0,"Łódź, ul. Wrocławska",51.7883204,19.4446901
912480065,2,True,1400,kamienica,14.0,1,450.0,Łódź/Stare Polesie/ul. Legionów 90,51.7724275,19.4357687
769285072,2,True,1600,blok,39.0,2,650.0,"ul. Podhalańska, Dąbrowa, Łódź",51.7390451,19.5029201
832932361,3,True,1800,blok,38.0,2,540.0,"Teofilów, Łódź",51.8061254,19.3789403
