offerid,floor,furnitured,price,buildingtype,area,rooms,rent,address,latitude,longitude
698777184,0,True,750,blok,23.0,1,650.0,"Ziemowita, Sokoła, Siedmiogrodzka, Poznań",52.4505129,16.9356164
802076174,8,True,2600,apartamentowiec,39.0,2,520.0,"ul. Świerzawska 7, Poznań",52.403133,16.861883
920964405,0,True,2200,blok,36.0,2,200.0,"ul. Druskienicka 2E, Poznań",52.4413063,16.8883629
743345182,1,True,3600,apartamentowiec,55.5,3,1000.0,"ul. Milczańska, Poznań",52.3909293,16.9655045
915384230,0,True,1800,kamienica,25.0,1,,"ul. Głogowska, Poznań",52.3760139,16.8720076
778914647,1,False,2500,pozostale,56.0,2,300.0,"Poznań, Naramowice",52.44639489999999,16.9537315
923900760,4,True,2000,blok,20.0,1,1.0,"Poznań, W centrum Poznania (między starym browarem a starym tynkiem)",52.4011751,16.9280301
782636481,4,True,2350,kamienica,27.0,1,550.0,"ulica Długa, Poznań",52.4037923,16.9335977
767981326,2,True,2300,loft,27.0,1,300.0,"Poznań, centrum Poznania",52.4093634,16.9317991
917387917,3,False,2600,apartamentowiec,58.0,2,550.0,"os. Ułańskie, Poznań",52.3927294,17.0653957
922299834,2,True,1600,blok,24.0,1,300.0,"Czapury, Poznań",52.3168963,16.9125298
745542768,1,True,2400,blok,42.0,2,590.0,"Karpia, Naramowice, Poznań",52.443512,16.9576832
923890938,0,True,2500,blok,50.2,2,750.0,"Os. Wilczak 18, Poznań",52.4294719,16.952889
769362104,3,True,3800,blok,70.0,3,1140.0,"Poznań, ul. Katowicka",52.3979359,16.9650293
922694166,0,True,2000,wolnostojacy,28.0,1,1.0,Poznań wola,52.4211678,16.8641461
916437644,3,True,2550,blok,39.0,2,475.0,"osiedle Zielony Żurawiniec, Naramowice, Poznań",52.4555162,16.9371901
918153429,2,True,1800,blok,32.0,1,409.0,"ul. Falista, Poznań",52.3692988,16.9479325
923883463,1,True,3300,blok,48.0,2,574.0,"ul. Św. Wawrzyńca 13, Poznań",52.4180776,16.9030254
923882046,2,True,2400,blok,53.0,2,530.0,"ul. Górki, Górczyn, Poznań",52.3848187,16.8909311
923880380,3,True,2700,blok,46.61,2,56252.0,"Poznań, Lwowska przy Malcie",52.4006378,16.9641902
679351380,4,True,1300,blok,26.0,1,500.0,"ul. Wybickiego, Poznań",52.3903952,16.9194863
891154914,,True,870,apartamentowiec,14.0,3,360.0,"Piątkowo, Poznań",52.4532369,16.911301
917266894,1,True,2700,blok,62.96,4,929.7,"ulica Karpiej, Naramowice, Poznań",52.443512,16.9576832
860935296,3,True,1800,kamienica,20.0,1,400.0,"ul. Poplińskich 1, Poznań",52.3970069,16.9227914
923189497,0,False,3500,blok,65.0,3,900.0,"Os. Zwycięstwa 1B, Poznań",52.4402211,16.9278899
851608378,3,True,2400,kamienica,55.0,2,480.0,"ulica Sczanieckiej, Łazarz, Poznań",52.3948664,16.8960384
922855750,1,True,1800,blok,25.0,1,490.0,"Poznań, Rycerska",52.4019761,16.8758918
923869913,6,True,2600,blok,40.0,2,500.0,"ul. Świerzawska, Poznań",52.4029635,16.8610345
923869868,1,False,1950,blok,50.0,3,450.0,"ul. Juranda, Naramowice, Poznań",52.4540391,16.9550687
723910530,10,True,2000,blok,29.0,1,470.0,"ul. Norwida, Jeżyce, Poznań",52.4161016,16.9124667
914883355,1,True,1600,wolnostojacy,25.0,1,400.0,"ul. K.Żegockiego, Winiary, Poznań",52.4402383,16.9169674
678964951,1,True,2600,apartamentowiec,41.0,1,900.0,"ul. Małe Garbary 8, Poznań",52.4120016,16.9376963
680582782,1,True,2200,blok,30.0,1,510.0,"Osiedle na Smolnej, Poznań",52.4219821,16.966929
792944327,5,True,2600,blok,47.0,2,600.0,"ul. PTASIA 20, Poznań",52.4010948,16.8571821
923863234,1,False,2500,blok,50.0,2,390.0,"os. Stefana Batorego, Poznań",52.4604254,16.923628
923863032,10,True,1600,blok,42.0,2,560.0,"os. Kopernika, Poznań",52.3850984,16.863386
