offerid,floor,furnitured,price,buildingtype,area,rooms,rent,address,latitude,longitude
700400448,1,True,3900,apartamentowiec,47.8,2,1.0,"ul. Płaskowickiej, Imielin, Warszawa",52.1412284,21.0407998
923247797,11,True,7500,apartamentowiec,53.0,2,1050.0,"ul. Kasprzaka, Wola Tower, Warszawa",52.2272738,20.9567721
731320805,2,True,5700,apartamentowiec,70.0,3,800.0,"Park Wilanowski, Warszawa",52.1631444,21.0902157
917400129,3,True,3450,blok,36.0,2,390.0,"Warszawa, ul. Samochodowa",52.1861094,21.0075701
918003624,4,True,3000,blok,29.0,1,400.0,"Jagiellońska, Warszawa",52.2689367,21.0192611
923908382,3,True,2200,blok,47.0,2,1110.0,"Warszawa, ul. Meander 22",52.1404028,21.0537767
918999678,1,True,2500,blok,40.0,2,600.0,"ul. Białołęcka 253, Warszawa",52.31295,21.0295361
919812201,6,True,2990,blok,52.0,2,800.0,"Dzieci Warszawy 41, Ursus, Warszawa",52.19608040000001,20.8940697
923907020,0,True,4700,apartamentowiec,80.0,3,1150.0,"ul. Zaściankowa, Wilanów Zawady, Warszawa",52.1689613,21.1150383
635342450,4,True,3000,blok,32.0,1,100.0,"Ursynów, Warszawa",52.13785439999999,21.0291229
916381212,7,True,3200,blok,49.0,2,800.0,"ul. Skoroszewska 11, Warszawa",52.1860495,20.8963778
923905469,3,True,3200,kamienica,62.0,2,1000.0,"Warszawa, Wilcza Street, City Center, Warsaw",52.2247175,21.0149539
908424100,3,True,3100,blok,48.0,2,1.0,"ul. Kochanowskiego 10a, Bielany, Warszawa",52.2674348,20.951511
818409483,7,False,5000,blok,64.0,3,800.0,"ul. Habicha, Ursus, Warszawa",52.2044563,20.8808517
922770990,7,True,4500,blok,49.0,2,1.0,"ul. Sokołowska 9, Warszawa",52.2346993,20.9596215
655538110,4,True,2200,blok,31.0,1,650.0,"ul. Modlińska, Białołęka, Warszawa",52.3808143,20.9096615
921153095,2,True,4000,apartamentowiec,60.0,3,1000.0,"Osiedle Sakura, Warszawa",52.3476434,20.9452624
923903044,0,True,2000,blok,26.0,1,570.0,"Ul. Szekspira 2, Warszawa",52.28290260000001,20.9335167
923493067,4,True,2500,blok,37.0,1,490.0,"ul. Sokratesa, Bielany, Warszawa",52.2851312,20.9289567
923902802,8,True,3200,blok,56.0,2,800.0,"Aleja Ken 56, Warszawa",52.1453785,21.0540134
923902153,4,True,2000,blok,56.0,2,800.0,"ulica Marsylska 7, Stegny, Warszawa",52.1762096,21.0506843
923901520,4,True,2100,blok,29.0,1,580.0,"ul. Suwalska, Warszawa",52.2951588,21.0337271
922364859,2,True,2900,blok,22.0,1,,"ul. Dmochowskiego, Powiśle, Warszawa",52.225619,21.0346042
864078327,2,True,3800,kamienica,48.0,2,800.0,"ul. Elektoralna, Warszawa",52.2402148,20.9975821
923900722,10,True,2400,blok,25.0,1,500.0,"ul. Dymińska, Warszawa",52.2611122,20.9975701
922505686,1,True,3500,apartamentowiec,63.0,3,1500.0,"metro Stokłosy, Warszawa",52.1561672,21.0346073
922743747,2,True,2500,blok,33.0,2,1.0,"Ochota, Warszawa",52.2103359,20.9712206
922406873,7,True,3800,apartamentowiec,40.0,2,,"ul. Zdziechowskiego 3, Mokotów, Warszawa",52.184597,21.0134242
820357378,1,True,3100,blok,37.0,2,590.0,"ul. Silnikowa 13, Ursus, Warszawa",52.2010519,20.8888309
917387877,3,True,3600,blok,39.0,2,,"Warszawa, Nakielska Street",52.2304217,20.9391628
922567804,8,True,3200,blok,56.0,2,800.0,"Aleja Ken 56, Warszawa",52.1453785,21.0540134
923899653,5,False,3500,kamienica,54.0,2,,"ul. Żelazna, Warszawa",52.2346688,20.9907818
923895480,7,True,3000,blok,28.0,1,300.0,"Warszawa, Kasprzaka 31A",52.2269381,20.9534043
891919464,2,True,2700,kamienica,47.0,2,700.0,"ul. Szanajcy 18, Warszawa",52.26349279999999,21.030666
911579085,1,True,3100,blok,59.0,2,800.0,"ul. Prochowa, Praga-Południe, Warszawa",52.248015,21.0847753
916348236,1,True,3500,blok,54.0,3,700.0,"ul. Brzeziny, Białołęka, Warszawa",52.3307442,21.0397849
921511493,0,True,4400,kamienica,63.0,3,1600.0,"Warszawa, Old Town",52.2477331,21.0136079
923894994,4,True,3900,pozostale,38.0,2,,"ul. Okęcka, Mokotów, Warszawa",52.1876522,21.0161332
923895068,3,True,3700,apartamentowiec,48.05,2,,"ul. Kazachska, Miasteczko Wilanów, Warszawa",52.1609851,21.0796706
906696337,1,True,2300,wolnostojacy,27.0,1,1.0,"05-075 Warszawa Wesoła, ul. Podleśna",52.2394224,21.1967886
869439011,7,True,3500,apartamentowiec,24.0,1,500.0,"ul. Wiktoryn 6, Warszawa",52.2047251,20.9365115
923891247,2,True,4500,blok,56.0,4,840.0,"ulica Lazurowa, Warszawa",52.2326597,20.8968437
913730425,,True,5500,apartamentowiec,70.0,3,1000.0,"ul. Jana Kazimierza, Wola, Warszawa",52.2229213,20.9393172
917981689,10,True,3249,blok,50.0,2,0.1,"Bródno Targówek, Warszawa",52.2884301,21.0307641
846141387,3,True,3700,apartamentowiec,35.0,1,800.0,"ul. Ogrodowa, Warszawa",52.2387232,20.9885287
909936770,4,True,3300,blok,63.0,3,900.0,"ul. K. Wyki, Bemowo, Warszawa",52.2299616,20.9019988
