offerid,floor,furnitured,price,buildingtype,area,rooms,rent,address,latitude,longitude
923893391,2,True,2650,kamienica,76.0,3,760.0,"ulica Sredzka, Wrocław",51.1472266,16.8554911
905403623,0,True,2300,blok,51.0,2,650.0,"Wrocław, ulica Tyrmanda",51.1020802,16.9482988
687439865,4,True,3000,blok,54.0,3,900.0,"ulica Legnicka, dzielnica Popowice, Wrocław",51.1218305,16.9920786
923906982,4,True,3500,apartamentowiec,36.0,2,500.0,"Legnicka Residance, ul. Legnicka, Wrocław",51.1186225,16.9983948
923905404,2,True,3100,blok,59.0,3,1100.0,"ul. Kukuczki, Krzyki, Wrocław",51.0718286,17.0358325
862653959,3,True,3100,blok,54.0,2,300.0,"ul. Bolesława Chrobrego, Wrocław",51.1227944,17.0346759
694825863,0,True,1300,szeregowiec,33.0,1,300.0,"Osiedle Wojszyce, Krzyki, Wrocław",51.0680471,17.0393594
706256879,1,True,2000,blok,30.0,1,500.0,"ul. Reja, Wrocław",51.1170424,17.0582592
923066925,6,True,2400,blok,27.0,1,380.0,"Wrocław, ul. Zielińskiego, centrum Wrocławia",51.098266,17.024196
923898426,1,True,3800,kamienica,80.0,3,1150.0,"ul. Komuny Paryskiej, Wrocław",51.101719,17.046855
923897266,2,True,2400,apartamentowiec,37.0,2,650.0,"ulica Komedy, osiedle Jagodno, dzielnica Krzyki, Wrocław",51.053753,17.0546358
838644750,0,True,2700,apartamentowiec,42.0,2,800.0,"ul. Skarbowców, Wrocław",51.0742075,16.995378
923897087,7,True,2800,blok,50.0,2,820.0,"ul. Kościuszki, Wrocław",51.1008268,17.0418116
875447386,4,True,1950,blok,26.0,1,550.0,"ul. Kołłątaja/Kościuszki, Wrocław",51.1019699,17.0365226
922790650,1,True,2900,blok,40.0,2,400.0,"ul. Buforowa, Jagodno, Wrocław",51.0568477,17.0570209
662107283,0,True,2100,kamienica,33.0,1,1.0,"ul. Traugutta, Krzyki, Wrocław",51.1029133,17.0508547
923892940,2,True,3700,blok,54.0,3,,"S. Jaracza 37, Wrocław",51.1250125,17.0575285
912513789,3,True,2350,blok,36.0,2,580.0,"ul. Buforowa, Jagodno, Wrocław",51.0568477,17.0570209
912729500,4,True,2250,blok,32.0,2,580.0,"ul. Nowowiejska, Śródmieście/Ołbin, Wrocław",51.120206,17.0558115
923482763,0,True,2500,blok,50.0,2,600.0,"Wrocław, Al. Śliwowa, Maślice",51.155347,16.943674
787414100,4,True,1700,kamienica,45.0,2,900.0,"ul. Krakowska, Wrocław",51.089041,17.0663013
923478221,2,True,3000,blok,55.0,3,500.0,"ul. Królewiecka, Maślice, Wrocław",51.1498147,16.9294238
923270659,4,True,2900,kamienica,46.0,2,450.0,"ul. Łukasińskiego, Wrocław",51.1020935,17.0492722
759526314,4,True,3000,blok,45.0,3,800.0,"ul. Żytnia (pl. Legionów), Wrocław",51.1017476,17.01537
